objective,run,iteration,intersect_revenue,surrogate_mean,surrogate_std,error,percent_error,abs_error
ensemble_mean,39,100,356529248.0,436586336.0,31268806.0,80057088.0,22.454563952071613,80057088.0
ensemble_mean,40,0,383048064.0,424198720.0,37842048.0,41150656.0,10.74294843583911,41150656.0
ensemble_mean,40,50,427199808.0,440518752.0,27587870.0,13318944.0,3.117731738306399,13318944.0
ensemble_mean,40,100,449222112.0,442499136.0,25672110.0,-6722976.0,-1.4965817176871292,6722976.0
ensemble_mean,41,0,455364032.0,421481984.0,35810324.0,-33882048.0,-7.440650912015817,33882048.0
ensemble_mean,41,50,408963936.0,433948928.0,29992772.0,24984992.0,6.109338697287968,24984992.0
ensemble_mean,41,100,412932320.0,435106816.0,28843080.0,22174496.0,5.370007365855983,22174496.0
ensemble_mean,42,0,481625280.0,423533760.0,36941976.0,-58091520.0,-12.061559559332101,58091520.0
ensemble_mean,42,50,462371648.0,435945056.0,30298342.0,-26426592.0,-5.7154438673540815,26426592.0
ensemble_mean,42,100,431888960.0,437481152.0,28402866.0,5592192.0,1.2948217060236964,5592192.0
ensemble_mean,43,0,444353120.0,419339200.0,38799572.0,-25013920.0,-5.629288706243359,25013920.0
ensemble_mean,43,50,474372704.0,432081216.0,33270988.0,-42291488.0,-8.915244836684364,42291488.0
ensemble_mean,43,100,439136384.0,433315744.0,32726454.0,-5820640.0,-1.3254743200690926,5820640.0
ensemble_mean,44,0,398760416.0,412290560.0,34177696.0,13530144.0,3.3930509291072664,13530144.0
ensemble_mean,44,50,415074176.0,428425056.0,32309136.0,13350880.0,3.2165046085642293,13350880.0
ensemble_mean,44,100,397209856.0,431431584.0,29681806.0,34221728.0,8.615528412265782,34221728.0
ensemble_mean,45,0,393978208.0,413122784.0,37329548.0,19144576.0,4.8592982076815785,19144576.0
ensemble_mean,45,50,433183104.0,432260608.0,30908074.0,-922496.0,-0.21295752107635296,922496.0
ensemble_mean,45,100,493531200.0,434840512.0,29626716.0,-58690688.0,-11.891991428302811,58690688.0
ensemble_mean,46,0,446890496.0,423431104.0,40925160.0,-23459392.0,-5.249472121241978,23459392.0
ensemble_mean,46,50,428114688.0,439713856.0,34128920.0,11599168.0,2.709359974119832,11599168.0
ensemble_mean,46,100,444183392.0,442081440.0,32686090.0,-2101952.0,-0.47321715261249575,2101952.0
ensemble_mean,47,0,439835488.0,425290560.0,36266404.0,-14544928.0,-3.306901875093808,14544928.0
ensemble_mean,47,50,400873920.0,437165920.0,31862680.0,36292000.0,9.053220523799602,36292000.0
ensemble_mean,47,100,429586880.0,439647488.0,28574534.0,10060608.0,2.3419262711188944,10060608.0
ensemble_mean,48,0,453419392.0,419066688.0,30375906.0,-34352704.0,-7.576364091635498,34352704.0
ensemble_mean,48,50,410417696.0,437213088.0,28708590.0,26795392.0,6.528810102769057,26795392.0
ensemble_mean,48,100,445776672.0,439359680.0,27255398.0,-6416992.0,-1.4395082567263637,6416992.0
ensemble_mean,49,0,487750304.0,412911360.0,34362648.0,-74838944.0,-15.34370012407004,74838944.0
ensemble_mean,49,50,444098016.0,422872832.0,33761436.0,-21225184.0,-4.7793917638217955,21225184.0
ensemble_mean,49,100,449622912.0,425415552.0,34199460.0,-24207360.0,-5.383924918843993,24207360.0
ensemble_mean,50,0,450956128.0,413383968.0,30377394.0,-37572160.0,-8.331666356688249,37572160.0
ensemble_mean,50,50,432757856.0,428681728.0,28596766.0,-4076128.0,-0.9418957838630202,4076128.0
ensemble_mean,50,100,430483008.0,430639968.0,29154376.0,156960.0,0.03646136945781609,156960.0
ensemble_mean,51,0,443743872.0,410944768.0,35781540.0,-32799104.0,-7.39144945307549,32799104.0
ensemble_mean,51,50,371114208.0,423176512.0,36965336.0,52062304.0,14.028647483095016,52062304.0
ensemble_mean,51,100,351961312.0,426772480.0,35936944.0,74811168.0,21.25550890093284,74811168.0
ensemble_mean,52,0,456625568.0,420402336.0,35822364.0,-36223232.0,-7.932808528146194,36223232.0
ensemble_mean,52,50,419276448.0,431202752.0,32330474.0,11926304.0,2.844496526549471,11926304.0
ensemble_mean,52,100,435162016.0,432886112.0,29967186.0,-2275904.0,-0.5230015296187983,2275904.0
ensemble_mean,53,0,424587680.0,421461568.0,39400344.0,-3126112.0,-0.7362700679397952,3126112.0
ensemble_mean,53,50,432636032.0,433583712.0,35097424.0,947680.0,0.21904786700706427,947680.0
ensemble_mean,53,100,406750080.0,435836768.0,34065496.0,29086688.0,7.150997487203936,29086688.0
ensemble_mean,54,0,427762144.0,420605760.0,33297762.0,-7156384.0,-1.6729820766935375,7156384.0
ensemble_mean,54,50,458085312.0,433405792.0,29404484.0,-24679520.0,-5.387537944023841,24679520.0
ensemble_mean,54,100,472207552.0,434063968.0,29467274.0,-38143584.0,-8.077715792228583,38143584.0
ensemble_mean,55,0,450340960.0,422009536.0,32623126.0,-28331424.0,-6.291105299415803,28331424.0
ensemble_mean,55,50,433852640.0,433541376.0,32254812.0,-311264.0,-0.07174417562608355,311264.0
ensemble_mean,55,100,476479648.0,435284160.0,31350486.0,-41195488.0,-8.645802223225282,41195488.0
ensemble_mean,56,0,466008640.0,423160544.0,34018952.0,-42848096.0,-9.194699909426571,42848096.0
ensemble_mean,56,50,408583232.0,433821376.0,29342744.0,25238144.0,6.176989661680487,25238144.0
ensemble_mean,56,100,455162336.0,435295904.0,28068402.0,-19866432.0,-4.3646915460070055,19866432.0
ensemble_mean,57,0,447732768.0,414143040.0,38029444.0,-33589728.0,-7.502182194536183,33589728.0
ensemble_mean,57,50,411808544.0,425505344.0,32156810.0,13696800.0,3.3260116137852647,13696800.0
ensemble_mean,57,100,391268544.0,428139648.0,32580002.0,36871104.0,9.423477702311791,36871104.0
ensemble_mean,58,0,339612704.0,416995456.0,37671976.0,77382752.0,22.785588138658085,77382752.0
ensemble_mean,58,50,431546912.0,426125440.0,36011244.0,-5421472.0,-1.256287983819474,5421472.0
ensemble_mean,58,100,496383648.0,429727680.0,32033458.0,-66655968.0,-13.428316639471571,66655968.0
ensemble_mean,59,0,412881792.0,419125056.0,36896500.0,6243264.0,1.5121189940969835,6243264.0
ensemble_mean,59,50,477580480.0,434325952.0,30950708.0,-43254528.0,-9.057013385471702,43254528.0
ensemble_mean,59,100,403045504.0,436204544.0,29996964.0,33159040.0,8.22712067766919,33159040.0
ensemble_mean,60,0,445258816.0,419444864.0,34767552.0,-25813952.0,-5.797516202351847,25813952.0
ensemble_mean,60,50,452835456.0,427581376.0,33586852.0,-25254080.0,-5.576877796424139,25254080.0
ensemble_mean,60,100,463762976.0,428194368.0,34379368.0,-35568608.0,-7.669566101801106,35568608.0
ensemble_mean,61,0,342136608.0,416621344.0,30244828.0,74484736.0,21.77046660847237,74484736.0
ensemble_mean,61,50,444325696.0,429746752.0,27901882.0,-14578944.0,-3.2811390678607077,14578944.0
ensemble_mean,61,100,393626176.0,432633920.0,25836614.0,39007744.0,9.909845020062894,39007744.0
ensemble_mean,62,0,535872832.0,418352416.0,39805676.0,-117520416.0,-21.930653875731473,117520416.0
ensemble_mean,62,50,465961568.0,432892160.0,31729602.0,-33069408.0,-7.097024791538173,33069408.0
ensemble_mean,62,100,460118624.0,434257344.0,31173042.0,-25861280.0,-5.6205679690114,25861280.0
