run_id,well_id,well_type,depth_z,final_x,final_y,mean_total_energy
2121,10,injector,42.032272,7.6541224,54.806732,1.9374334e+14
2121,11,producer,49.592194,18.76546,35.302303,1.9374334e+14
2122,0,injector,48.3091,34.12089,62.189785,1.9393594e+14
2122,1,producer,46.390606,29.891306,12.724743,1.9393594e+14
2122,2,injector,52.662933,63.05794,37.17227,1.9393594e+14
2122,3,producer,49.750423,57.07754,20.200893,1.9393594e+14
2122,4,injector,49.668213,10.425227,45.71108,1.9393594e+14
2122,5,producer,51.544964,65.288704,15.157283,1.9393594e+14
2122,6,injector,50.03791,22.27148,68.52205,1.9393594e+14
2122,7,producer,43.904346,34.06666,25.645945,1.9393594e+14
2122,8,injector,49.867634,41.498814,48.410137,1.9393594e+14
2122,9,producer,49.820858,58.06006,47.4304,1.9393594e+14
2122,10,injector,49.5795,7.1429553,55.16336,1.9393594e+14
2122,11,producer,40.352757,16.769619,37.121704,1.9393594e+14
2123,0,injector,49.62263,35.02128,64.61115,1.9386838e+14
2123,1,producer,48.61114,35.44417,14.632673,1.9386838e+14
2123,2,injector,52.55799,64.65651,42.300293,1.9386838e+14
2123,3,producer,42.88691,57.455723,16.152348,1.9386838e+14
2123,4,injector,43.55571,9.057083,42.986313,1.9386838e+14
2123,5,producer,51.55295,61.789658,16.528728,1.9386838e+14
2123,6,injector,49.85641,18.94401,66.12313,1.9386838e+14
2123,7,producer,49.613503,34.721462,24.208826,1.9386838e+14
2123,8,injector,42.351276,41.26376,46.18667,1.9386838e+14
2123,9,producer,49.59831,57.37822,51.808277,1.9386838e+14
2123,10,injector,41.391678,7.366303,56.0509,1.9386838e+14
2123,11,producer,50.00863,16.205795,37.004032,1.9386838e+14
2124,0,injector,47.48151,34.506348,61.148968,1.9374368e+14
2124,1,producer,48.773132,30.841125,12.001444,1.9374368e+14
2124,2,injector,53.71639,67.36578,40.045757,1.9374368e+14
2124,3,producer,49.801792,57.941093,20.548672,1.9374368e+14
2124,4,injector,49.56549,8.050303,34.93814,1.9374368e+14
2124,5,producer,51.589436,65.88283,19.639734,1.9374368e+14
2124,6,injector,49.89392,22.955294,68.719574,1.9374368e+14
