Num,Scenario,WellConfig,filename
258,73,OPT_0002_08,v2.4_0258.h5
259,78,OPT_0002_08,v2.4_0259.h5
260,79,OPT_0002_07,v2.4_0260.h5
261,80,OPT_0002_08,v2.4_0261.h5
262,72,OPT_0002_08,v2.4_0262.h5
263,82,OPT_0002_08,v2.4_0263.h5
264,76,OPT_0002_07,v2.4_0264.h5
265,81,OPT_0002_08,v2.4_0265.h5
266,79,OPT_0002_08,v2.4_0266.h5
267,77,OPT_0002_07,v2.4_0267.h5
268,84,OPT_0002_08,v2.4_0268.h5
269,72,OPT_0002_09,v2.4_0269.h5
270,74,OPT_0002_09,v2.4_0270.h5
271,83,OPT_0002_08,v2.4_0271.h5
272,85,OPT_0002_08,v2.4_0272.h5
273,71,OPT_0002_09,v2.4_0273.h5
274,73,OPT_0002_09,v2.4_0274.h5
275,78,OPT_0002_09,v2.4_0275.h5
276,81,OPT_0002_09,v2.4_0276.h5
277,71,OPT_0002_10,v2.4_0277.h5
278,80,OPT_0002_09,v2.4_0278.h5
279,83,OPT_0002_09,v2.4_0279.h5
280,75,OPT_0002_09,v2.4_0280.h5
281,82,OPT_0002_09,v2.4_0281.h5
282,84,OPT_0002_09,v2.4_0282.h5
283,76,OPT_0002_09,v2.4_0283.h5
284,77,OPT_0002_09,v2.4_0284.h5
285,85,OPT_0002_09,v2.4_0285.h5
286,74,OPT_0002_10,v2.4_0286.h5
287,79,OPT_0002_09,v2.4_0287.h5
288,79,OPT_0002_10,v2.4_0288.h5
289,75,OPT_0002_10,v2.4_0289.h5
290,83,OPT_0002_10,v2.4_0290.h5
291,78,OPT_0002_10,v2.4_0291.h5
292,77,OPT_0002_10,v2.4_0292.h5
293,73,OPT_0002_10,v2.4_0293.h5
294,76,OPT_0002_10,v2.4_0294.h5
295,82,OPT_0002_10,v2.4_0295.h5
296,81,OPT_0002_10,v2.4_0296.h5
297,80,OPT_0002_10,v2.4_0297.h5
298,85,OPT_0002_10,v2.4_0298.h5
299,72,OPT_0002_10,v2.4_0299.h5
300,84,OPT_0002_10,v2.4_0300.h5
301,71,OPT_0003_01,v2.4_0301.h5
302,74,OPT_0003_01,v2.4_0302.h5
303,75,OPT_0003_01,v2.4_0303.h5
304,73,OPT_0003_01,v2.4_0304.h5
305,72,OPT_0003_01,v2.4_0305.h5
306,76,OPT_0003_01,v2.4_0306.h5
307,77,OPT_0003_01,v2.4_0307.h5
308,78,OPT_0003_01,v2.4_0308.h5
309,80,OPT_0003_01,v2.4_0309.h5
310,82,OPT_0003_01,v2.4_0310.h5
311,84,OPT_0003_01,v2.4_0311.h5
312,81,OPT_0003_01,v2.4_0312.h5
313,71,OPT_0003_02,v2.4_0313.h5
314,79,OPT_0003_01,v2.4_0314.h5
315,83,OPT_0003_01,v2.4_0315.h5
316,75,OPT_0003_04,v2.4_0316.h5
317,73,OPT_0003_04,v2.4_0317.h5
318,72,OPT_0003_04,v2.4_0318.h5
319,71,OPT_0003_04,v2.4_0319.h5
320,77,OPT_0003_03,v2.4_0320.h5
321,85,OPT_0003_01,v2.4_0321.h5
322,78,OPT_0003_03,v2.4_0322.h5
323,76,OPT_0003_04,v2.4_0323.h5
324,75,OPT_0003_02,v2.4_0324.h5
325,74,OPT_0003_04,v2.4_0325.h5
326,85,OPT_0003_03,v2.4_0326.h5
327,73,OPT_0003_02,v2.4_0327.h5
328,72,OPT_0003_02,v2.4_0328.h5
329,74,OPT_0003_02,v2.4_0329.h5
330,79,OPT_0003_03,v2.4_0330.h5
331,76,OPT_0003_02,v2.4_0331.h5
332,77,OPT_0003_04,v2.4_0332.h5
333,78,OPT_0003_02,v2.4_0333.h5
334,77,OPT_0003_02,v2.4_0334.h5
335,79,OPT_0003_02,v2.4_0335.h5
336,80,OPT_0003_03,v2.4_0336.h5
337,81,OPT_0003_02,v2.4_0337.h5
338,82,OPT_0003_02,v2.4_0338.h5
339,80,OPT_0003_02,v2.4_0339.h5
340,84,OPT_0003_02,v2.4_0340.h5
341,83,OPT_0003_02,v2.4_0341.h5
342,85,OPT_0003_02,v2.4_0342.h5
343,71,OPT_0003_03,v2.4_0343.h5
344,75,OPT_0003_03,v2.4_0344.h5
345,84,OPT_0003_03,v2.4_0345.h5
346,72,OPT_0003_03,v2.4_0346.h5
347,74,OPT_0003_03,v2.4_0347.h5
348,82,OPT_0003_03,v2.4_0348.h5
349,83,OPT_0003_03,v2.4_0349.h5
350,73,OPT_0003_03,v2.4_0350.h5
351,81,OPT_0003_03,v2.4_0351.h5
352,76,OPT_0003_03,v2.4_0352.h5
353,82,OPT_0003_04,v2.4_0353.h5
354,75,OPT_0003_05,v2.4_0354.h5
355,84,OPT_0003_04,v2.4_0355.h5
356,81,OPT_0003_04,v2.4_0356.h5
357,71,OPT_0003_05,v2.4_0357.h5
358,72,OPT_0003_05,v2.4_0358.h5
