run_id,well_id,well_type,depth_z,final_x,final_y,mean_total_energy
20,1,producer,56.279007,10.689769,52.275383,1.8869536e+14
20,2,injector,39.173145,9.891353,15.333945,1.8869536e+14
20,3,producer,49.61601,56.761593,62.32528,1.8869536e+14
20,4,injector,49.958965,30.35591,66.17588,1.8869536e+14
20,5,producer,49.890392,25.865353,27.41842,1.8869536e+14
20,6,injector,51.045948,56.237286,22.91938,1.8869536e+14
20,7,producer,37.33036,38.457386,12.18913,1.8869536e+14
20,8,injector,53.65022,8.673297,68.842415,1.8869536e+14
20,9,producer,44.54317,43.99755,22.311634,1.8869536e+14
20,10,injector,53.346172,7.4337564,66.13666,1.8869536e+14
20,11,producer,49.71691,41.634014,3.647015,1.8869536e+14
21,0,injector,35.16741,61.116344,68.27174,1.86365e+14
21,1,producer,51.572384,38.583263,75.0,1.86365e+14
21,2,injector,44.14721,24.181328,34.459694,1.86365e+14
21,3,producer,49.806404,51.906776,10.186718,1.86365e+14
21,4,injector,49.660015,56.940186,63.432747,1.86365e+14
21,5,producer,18.09678,13.32991,43.885498,1.86365e+14
21,6,injector,46.046875,58.018803,18.873568,1.86365e+14
21,7,producer,51.423214,39.30273,69.097145,1.86365e+14
21,8,injector,56.26807,40.293335,9.23971,1.86365e+14
21,9,producer,53.575863,4.8222523,65.213066,1.86365e+14
21,10,injector,49.701202,54.257435,53.732197,1.86365e+14
21,11,producer,57.281586,9.985342,2.815462,1.86365e+14
22,0,injector,53.645683,50.299686,75.0,1.8450681e+14
22,1,producer,48.944,10.160343,14.991172,1.8450681e+14
22,2,injector,49.715763,48.05724,61.421864,1.8450681e+14
22,3,producer,55.524677,13.172575,11.8132925,1.8450681e+14
22,4,injector,44.06072,8.952077,58.836567,1.8450681e+14
22,5,producer,35.29601,13.707468,35.18473,1.8450681e+14
22,6,injector,43.79399,58.768826,5.7645636,1.8450681e+14
22,7,producer,49.605255,57.737396,30.921104,1.8450681e+14
22,8,injector,52.165436,38.268814,65.04849,1.8450681e+14
22,9,producer,56.998455,22.849522,58.87039,1.8450681e+14
22,10,injector,46.076126,32.453934,2.5943937,1.8450681e+14
22,11,producer,52.580696,12.049934,17.225449,1.8450681e+14
23,0,injector,47.62974,18.316381,33.08091,1.8710023e+14
23,1,producer,12.633563,13.275025,56.445248,1.8710023e+14
23,2,injector,49.618973,22.99504,11.387838,1.8710023e+14
23,3,producer,49.932293,58.06884,21.769104,1.8710023e+14
23,4,injector,44.694645,34.398365,64.143524,1.8710023e+14
23,5,producer,51.134613,49.832413,69.32694,1.8710023e+14
23,6,injector,49.61402,13.087735,57.028355,1.8710023e+14
23,7,producer,49.958187,13.490693,69.69571,1.8710023e+14
23,8,injector,48.078255,54.758503,41.02668,1.8710023e+14
23,9,producer,49.687233,57.972324,45.796143,1.8710023e+14
23,10,injector,49.47937,34.626743,14.213607,1.8710023e+14
23,11,producer,29.994324,56.083996,65.88638,1.8710023e+14
24,0,injector,54.687237,58.207752,66.70068,1.8401841e+14
24,1,producer,48.475758,58.09587,8.820747,1.8401841e+14
24,2,injector,49.670925,11.104525,67.43792,1.8401841e+14
24,3,producer,36.736046,20.243286,11.537575,1.8401841e+14
24,4,injector,49.683205,8.963062,19.48195,1.8401841e+14
24,5,producer,48.027794,48.535202,57.493336,1.8401841e+14
24,6,injector,49.952435,23.127222,57.979458,1.8401841e+14
24,7,producer,49.83316,57.912243,36.447227,1.8401841e+14
24,8,injector,17.677866,17.440226,26.13621,1.8401841e+14
24,9,producer,48.708347,10.885803,20.912626,1.8401841e+14
24,10,injector,48.744328,58.786343,69.15893,1.8401841e+14
24,11,producer,52.55965,68.57196,16.79466,1.8401841e+14
25,0,injector,50.884182,20.44167,62.697235,1.8888414e+14
25,1,producer,48.591434,58.356846,4.701361,1.8888414e+14
25,2,injector,49.64702,54.012386,54.701305,1.8888414e+14
25,3,producer,57.051308,19.856533,0.0,1.8888414e+14
25,4,injector,39.410404,8.586649,0.0,1.8888414e+14
25,5,producer,49.692966,59.508427,31.387249,1.8888414e+14
25,6,injector,54.011246,21.388378,71.204865,1.8888414e+14
25,7,producer,36.52467,13.970346,30.048832,1.8888414e+14
25,8,injector,43.96541,32.532692,52.852657,1.8888414e+14
25,9,producer,59.164505,59.70033,66.02499,1.8888414e+14
25,10,injector,49.985672,27.916857,15.704986,1.8888414e+14
25,11,producer,23.65333,58.34207,15.528103,1.8888414e+14
26,0,injector,8.646041,14.7951355,18.548906,1.8578712e+14
26,1,producer,49.722225,12.4949875,67.43943,1.8578712e+14
26,2,injector,35.99602,57.553345,54.314884,1.8578712e+14
26,3,producer,49.791348,57.434845,46.706146,1.8578712e+14
26,4,injector,46.06102,37.424644,16.420357,1.8578712e+14
26,5,producer,51.45321,68.44297,66.70155,1.8578712e+14
26,6,injector,45.478382,62.80584,41.824055,1.8578712e+14
26,7,producer,49.681965,15.611378,73.18922,1.8578712e+14
26,8,injector,44.184124,11.924669,28.304102,1.8578712e+14
26,9,producer,57.087944,8.283194,9.441476,1.8578712e+14
26,10,injector,49.733746,11.504309,50.749546,1.8578712e+14
26,11,producer,40.286682,16.141275,16.241716,1.8578712e+14
27,0,injector,49.72298,11.038065,67.89954,1.8538245e+14
27,1,producer,47.232903,58.18912,64.84919,1.8538245e+14
27,2,injector,49.7512,9.808237,64.23634,1.8538245e+14
27,3,producer,45.634785,47.711357,8.321765,1.8538245e+14
27,4,injector,26.558563,58.057858,24.89676,1.8538245e+14
27,5,producer,50.058342,18.306095,15.389891,1.8538245e+14
27,6,injector,45.5919,49.984146,44.630596,1.8538245e+14
27,7,producer,48.762886,34.303947,51.907646,1.8538245e+14
27,8,injector,59.490665,7.888088,4.6976085,1.8538245e+14
27,9,producer,49.619835,10.7968855,10.746424,1.8538245e+14
27,10,injector,49.49242,42.12327,60.699226,1.8538245e+14
27,11,producer,50.008087,21.039576,55.9687,1.8538245e+14
28,0,injector,44.042667,0.0,0.0,1.8451914e+14
28,1,producer,35.674343,61.177094,55.327354,1.8451914e+14
28,2,injector,47.350655,46.122395,13.80646,1.8451914e+14
28,3,producer,4.2673783,25.861143,44.24676,1.8451914e+14
28,4,injector,50.26223,35.640648,66.968094,1.8451914e+14
28,5,producer,44.138958,29.96929,48.522057,1.8451914e+14
28,6,injector,49.949192,10.979958,17.044079,1.8451914e+14
28,7,producer,49.896965,10.575831,56.12468,1.8451914e+14
28,8,injector,49.591473,9.56216,54.81909,1.8451914e+14
28,9,producer,27.496952,20.788939,6.64071,1.8451914e+14
