run_id,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
359,74,v2.5_0111,run0359_iter0050,v2.5_cmaes_20260420_74_run0359,184551724810240.0,154890529669120.0,29661195141120.0,406256128.0,343123392.0,63132736.0
359,76,v2.5_1203,run0359_iter0050,v2.5_cmaes_20260420_76_run0359,188213889073152.0,155253873836032.0,32960015237120.0,413702208.0,343435200.0,70267008.0
359,73,v2.5_1428,run0359_iter0050,v2.5_cmaes_20260420_73_run0359,184390596427776.0,159598703017984.0,24791893409792.0,405259808.0,351790464.0,53469344.0
374,74,v2.5_0111,run0374_iter0050,v2.5_cmaes_20260420_74_run0374,187893880455168.0,186736722313216.0,1157158141952.0,410668672.0,396220640.0,14448032.0
374,76,v2.5_1203,run0374_iter0050,v2.5_cmaes_20260420_76_run0374,189348850958336.0,191220919828480.0,1872068870144.0,420653920.0,411219360.0,9434560.0
374,73,v2.5_1428,run0374_iter0050,v2.5_cmaes_20260420_73_run0374,188971028054016.0,186597874073600.0,2373153980416.0,411882880.0,397206848.0,14676032.0
389,74,v2.5_0111,run0389_iter0050,v2.5_cmaes_20260420_74_run0389,184627641712640.0,192126402953216.0,7498761240576.0,397517536.0,398890912.0,1373376.0
389,76,v2.5_1203,run0389_iter0050,v2.5_cmaes_20260420_76_run0389,185215314034688.0,185626020282368.0,410706247680.0,405675136.0,386058464.0,19616672.0
389,73,v2.5_1428,run0389_iter0050,v2.5_cmaes_20260420_73_run0389,184357411094528.0,185604226678784.0,1246815584256.0,396316224.0,377310816.0,19005408.0
404,74,v2.5_0111,run0404_iter0050,v2.5_cmaes_20260420_74_run0404,184705638989824.0,154250193666048.0,30455445323776.0,404083872.0,336267520.0,67816352.0
404,76,v2.5_1203,run0404_iter0050,v2.5_cmaes_20260420_76_run0404,188270461845504.0,165427107856384.0,22843353989120.0,408628352.0,350724384.0,57903968.0
404,73,v2.5_1428,run0404_iter0050,v2.5_cmaes_20260420_73_run0404,186549807349760.0,158378244440064.0,28171562909696.0,401939136.0,334595680.0,67343456.0
419,74,v2.5_0111,run0419_iter0050,v2.5_cmaes_20260420_74_run0419,187091459768320.0,191214460600320.0,4123000832000.0,409859520.0,430316800.0,20457280.0
419,76,v2.5_1203,run0419_iter0050,v2.5_cmaes_20260420_76_run0419,187765635416064.0,188337923031040.0,572287614976.0,413581472.0,420131456.0,6549984.0
419,73,v2.5_1428,run0419_iter0050,v2.5_cmaes_20260420_73_run0419,188434945671168.0,197872968531968.0,9438022860800.0,411791392.0,444422368.0,32630976.0
434,74,v2.5_0111,run0434_iter0050,v2.5_cmaes_20260420_74_run0434,185554767446016.0,186238388666368.0,683621220352.0,403774336.0,416065280.0,12290944.0
434,76,v2.5_1203,run0434_iter0050,v2.5_cmaes_20260420_76_run0434,188591409987584.0,190457103515648.0,1865693528064.0,412544064.0,430288128.0,17744064.0
434,73,v2.5_1428,run0434_iter0050,v2.5_cmaes_20260420_73_run0434,185098796269568.0,190146372698112.0,5047576428544.0,402119200.0,425702688.0,23583488.0
449,74,v2.5_0111,run0449_iter0050,v2.5_cmaes_20260420_74_run0449,189038724120576.0,193725305192448.0,4686581071872.0,413049152.0,445430688.0,32381536.0
449,76,v2.5_1203,run0449_iter0050,v2.5_cmaes_20260420_76_run0449,190044669214720.0,192427822415872.0,2383153201152.0,418036288.0,433192608.0,15156320.0
449,73,v2.5_1428,run0449_iter0050,v2.5_cmaes_20260420_73_run0449,189789605199872.0,209819654946816.0,20030049746944.0,413510784.0,475716480.0,62205696.0
464,74,v2.5_0111,run0464_iter0050,v2.5_cmaes_20260420_74_run0464,186315949735936.0,164412774154240.0,21903175581696.0,402483616.0,370504608.0,31979008.0
464,76,v2.5_1203,run0464_iter0050,v2.5_cmaes_20260420_76_run0464,189546771775488.0,185372331999232.0,4174439776256.0,416926112.0,408365472.0,8560640.0
464,73,v2.5_1428,run0464_iter0050,v2.5_cmaes_20260420_73_run0464,186795744559104.0,177606393593856.0,9189350965248.0,406385600.0,396199040.0,10186560.0
479,74,v2.5_0111,run0479_iter0050,v2.5_cmaes_20260420_74_run0479,187198464851968.0,171576007852032.0,15622456999936.0,410261056.0,372302112.0,37958944.0
479,76,v2.5_1203,run0479_iter0050,v2.5_cmaes_20260420_76_run0479,190601219801088.0,182423467851776.0,8177751949312.0,421784224.0,389785088.0,31999136.0
479,73,v2.5_1428,run0479_iter0050,v2.5_cmaes_20260420_73_run0479,186400003588096.0,185040998760448.0,1359004827648.0,408669952.0,401824896.0,6845056.0
494,74,v2.5_0111,run0494_iter0050,v2.5_cmaes_20260420_74_run0494,187408683368448.0,206370309668864.0,18961626300416.0,410671904.0,473805312.0,63133408.0
494,76,v2.5_1203,run0494_iter0050,v2.5_cmaes_20260420_76_run0494,191154364612608.0,210938259046400.0,19783894433792.0,425495744.0,477135776.0,51640032.0
494,73,v2.5_1428,run0494_iter0050,v2.5_cmaes_20260420_73_run0494,188763561000960.0,213351057588224.0,24587496587264.0,412431744.0,483355040.0,70923296.0
509,74,v2.5_0111,run0509_iter0050,v2.5_cmaes_20260420_74_run0509,189784303599616.0,191672545705984.0,1888242106368.0,412927040.0,430965216.0,18038176.0
509,76,v2.5_1203,run0509_iter0050,v2.5_cmaes_20260420_76_run0509,191962154008576.0,203699091668992.0,11736937660416.0,421057120.0,452417536.0,31360416.0
509,73,v2.5_1428,run0509_iter0050,v2.5_cmaes_20260420_73_run0509,189266021842944.0,196677793218560.0,7411771375616.0,410846240.0,443061056.0,32214816.0
