run_id,iteration,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
3,0,73,v2.5_1428,run0003_iter0000,v2.5_cmaes_20260427_130344_73_run0003_iter0000,167872571637760.0,171042660155392.0,3170088517632.0,352654176.0,350823360.0,1830816.0
2,10,74,v2.5_0111,run0002_iter0010,v2.5_cmaes_20260427_130344_74_run0002_iter0010,181709077217280.0,184011850776576.0,2302773559296.0,391091072.0,389361024.0,1730048.0
2,10,76,v2.5_1203,run0002_iter0010,v2.5_cmaes_20260427_130344_76_run0002_iter0010,184869082628096.0,179701968535552.0,5167114092544.0,400336928.0,378231328.0,22105600.0
2,10,73,v2.5_1428,run0002_iter0010,v2.5_cmaes_20260427_130344_73_run0002_iter0010,179169577140224.0,179988775043072.0,819197902848.0,384196608.0,379811840.0,4384768.0
3,10,74,v2.5_0111,run0003_iter0010,v2.5_cmaes_20260427_130344_74_run0003_iter0010,180353209729024.0,177745074061312.0,2608135667712.0,385355008.0,356946016.0,28408992.0
3,10,76,v2.5_1203,run0003_iter0010,v2.5_cmaes_20260427_130344_76_run0003_iter0010,183253252177920.0,174729252044800.0,8524000133120.0,397358624.0,348003840.0,49354784.0
3,10,73,v2.5_1428,run0003_iter0010,v2.5_cmaes_20260427_130344_73_run0003_iter0010,178901712109568.0,174978058158080.0,3923653951488.0,380427264.0,345714368.0,34712896.0
2,20,74,v2.5_0111,run0002_iter0020,v2.5_cmaes_20260427_130344_74_run0002_iter0020,183546417250304.0,199431471235072.0,15885053984768.0,395737184.0,447064416.0,51327232.0
2,20,76,v2.5_1203,run0002_iter0020,v2.5_cmaes_20260427_130344_76_run0002_iter0020,186783128092672.0,197316552163328.0,10533424070656.0,408245760.0,438916160.0,30670400.0
2,20,73,v2.5_1428,run0002_iter0020,v2.5_cmaes_20260427_130344_73_run0002_iter0020,181838127562752.0,196624575889408.0,14786448326656.0,393628768.0,438159136.0,44530368.0
3,20,74,v2.5_0111,run0003_iter0020,v2.5_cmaes_20260427_130344_74_run0003_iter0020,181829822840832.0,163225903562752.0,18603919278080.0,390407904.0,343404896.0,47003008.0
3,20,76,v2.5_1203,run0003_iter0020,v2.5_cmaes_20260427_130344_76_run0003_iter0020,185066651123712.0,181772360876032.0,3294290247680.0,403669824.0,371150528.0,32519296.0
3,20,73,v2.5_1428,run0003_iter0020,v2.5_cmaes_20260427_130344_73_run0003_iter0020,181412472815616.0,168670647025664.0,12741825789952.0,389737760.0,353182464.0,36555296.0
2,30,74,v2.5_0111,run0002_iter0030,v2.5_cmaes_20260427_130344_74_run0002_iter0030,184320098566144.0,203155644088320.0,18835545522176.0,396929600.0,457927712.0,60998112.0
2,30,76,v2.5_1203,run0002_iter0030,v2.5_cmaes_20260427_130344_76_run0002_iter0030,187328890929152.0,197772489785344.0,10443598856192.0,410396512.0,442245824.0,31849312.0
2,30,73,v2.5_1428,run0002_iter0030,v2.5_cmaes_20260427_130344_73_run0002_iter0030,182971713716224.0,199061852389376.0,16090138673152.0,396626272.0,445062176.0,48435904.0
3,30,74,v2.5_0111,run0003_iter0030,v2.5_cmaes_20260427_130344_74_run0003_iter0030,182309282119680.0,137234900582400.0,45074381537280.0,392834400.0,297500096.0,95334304.0
3,30,76,v2.5_1203,run0003_iter0030,v2.5_cmaes_20260427_130344_76_run0003_iter0030,185629795155968.0,122724437458944.0,62905357697024.0,405184320.0,272264736.0,132919584.0
3,30,73,v2.5_1428,run0003_iter0030,v2.5_cmaes_20260427_130344_73_run0003_iter0030,182236519333888.0,124817378377728.0,57419140956160.0,393255776.0,271716320.0,121539456.0
2,40,74,v2.5_0111,run0002_iter0040,v2.5_cmaes_20260427_130344_74_run0002_iter0040,184613330747392.0,202946868412416.0,18333537665024.0,397589568.0,458067008.0,60477440.0
2,40,76,v2.5_1203,run0002_iter0040,v2.5_cmaes_20260427_130344_76_run0002_iter0040,187484466053120.0,195574271836160.0,8089805783040.0,411302304.0,439403424.0,28101120.0
2,40,73,v2.5_1428,run0002_iter0040,v2.5_cmaes_20260427_130344_73_run0002_iter0040,183432902606848.0,197968095346688.0,14535192739840.0,397528640.0,445629344.0,48100704.0
3,40,74,v2.5_0111,run0003_iter0040,v2.5_cmaes_20260427_130344_74_run0003_iter0040,182568154562560.0,142907117928448.0,39661036634112.0,394524768.0,321461088.0,73063680.0
3,40,76,v2.5_1203,run0003_iter0040,v2.5_cmaes_20260427_130344_76_run0003_iter0040,185777501765632.0,163682629713920.0,22094872051712.0,406132064.0,361770336.0,44361728.0
3,40,73,v2.5_1428,run0003_iter0040,v2.5_cmaes_20260427_130344_73_run0003_iter0040,182600433926144.0,158337291255808.0,24263142670336.0,395128064.0,348930176.0,46197888.0
2,50,74,v2.5_0111,run0002_iter0050,v2.5_cmaes_20260427_130344_74_run0002_iter0050,184787948011520.0,195992645271552.0,11204697260032.0,397966496.0,439618976.0,41652480.0
2,50,76,v2.5_1203,run0002_iter0050,v2.5_cmaes_20260427_130344_76_run0002_iter0050,187603634618368.0,187911345537024.0,307710918656.0,411742400.0,411890624.0,148224.0
