run_id,iteration,geology_config_id,geology_name,snapshot_id,case_name,pred_total_energy,actual_total_energy,abs_err_total_energy,pred_discounted_revenue,actual_discounted_revenue,abs_err_discounted_revenue
2,75,74,v2.5_0111,run0002_iter0075,v2.5_gradient_patched_74_run0002_iter0075,182572919291904.0,196997516623872.0,14424597331968.0,459182400.0,484810496.0,25628096.0
2,75,76,v2.5_1203,run0002_iter0075,v2.5_gradient_patched_76_run0002_iter0075,190077938434048.0,194834933481472.0,4756995047424.0,457640416.0,477114752.0,19474336.0
2,75,73,v2.5_1428,run0002_iter0075,v2.5_gradient_patched_73_run0002_iter0075,180691186745344.0,195819873501184.0,15128686755840.0,463305856.0,481035168.0,17729312.0
3,75,74,v2.5_0111,run0003_iter0075,v2.5_gradient_patched_74_run0003_iter0075,174749921574912.0,174047627313152.0,702294261760.0,459776960.0,426019104.0,33757856.0
3,75,76,v2.5_1203,run0003_iter0075,v2.5_gradient_patched_76_run0003_iter0075,183802253017088.0,181304729534464.0,2497523482624.0,467189568.0,404602464.0,62587104.0
3,75,73,v2.5_1428,run0003_iter0075,v2.5_gradient_patched_73_run0003_iter0075,171141964496896.0,181791470125056.0,10649505628160.0,436687648.0,428825664.0,7861984.0
2,100,74,v2.5_0111,run0002_iter0100,v2.5_gradient_patched_74_run0002_iter0100,182499753852928.0,196603201716224.0,14103447863296.0,461730304.0,486302560.0,24572256.0
2,100,76,v2.5_1203,run0002_iter0100,v2.5_gradient_patched_76_run0002_iter0100,189737797156864.0,196933343772672.0,7195546615808.0,457974368.0,489075104.0,31100736.0
2,100,73,v2.5_1428,run0002_iter0100,v2.5_gradient_patched_73_run0002_iter0100,181278942953472.0,195055738421248.0,13776795467776.0,465576576.0,480889376.0,15312800.0
3,100,74,v2.5_0111,run0003_iter0100,v2.5_gradient_patched_74_run0003_iter0100,173271412637696.0,171991277502464.0,1280135135232.0,463820960.0,372232672.0,91588288.0
3,100,76,v2.5_1203,run0003_iter0100,v2.5_gradient_patched_76_run0003_iter0100,182826943119360.0,176306276794368.0,6520666324992.0,470661440.0,391834176.0,78827264.0
3,100,73,v2.5_1428,run0003_iter0100,v2.5_gradient_patched_73_run0003_iter0100,169463068491776.0,174985591128064.0,5522522636288.0,444458848.0,403420640.0,41038208.0
2,125,74,v2.5_0111,run0002_iter0125,v2.5_gradient_patched_74_run0002_iter0125,182331595816960.0,192774003490816.0,10442407673856.0,463944320.0,471556064.0,7611744.0
2,125,76,v2.5_1203,run0002_iter0125,v2.5_gradient_patched_76_run0002_iter0125,190005058207744.0,191564416548864.0,1559358341120.0,458662560.0,468020512.0,9357952.0
2,125,73,v2.5_1428,run0002_iter0125,v2.5_gradient_patched_73_run0002_iter0125,181541137285120.0,190183249018880.0,8642111733760.0,467647456.0,463350976.0,4296480.0
3,125,74,v2.5_0111,run0003_iter0125,v2.5_gradient_patched_74_run0003_iter0125,172473488244736.0,146543931817984.0,25929556426752.0,467255840.0,314306240.0,152949600.0
3,125,76,v2.5_1203,run0003_iter0125,v2.5_gradient_patched_76_run0003_iter0125,181827608248320.0,156154760003584.0,25672848244736.0,471585600.0,339284896.0,132300704.0
3,125,73,v2.5_1428,run0003_iter0125,v2.5_gradient_patched_73_run0003_iter0125,168976160129024.0,155325747429376.0,13650412699648.0,445750112.0,338927296.0,106822816.0
2,150,74,v2.5_0111,run0002_iter0150,v2.5_gradient_patched_74_run0002_iter0150,181972227850240.0,185272289460224.0,3300061609984.0,465529024.0,436922208.0,28606816.0
2,150,76,v2.5_1203,run0002_iter0150,v2.5_gradient_patched_76_run0002_iter0150,190581691121664.0,182900628652032.0,7681062469632.0,460229408.0,429330368.0,30899040.0
2,150,73,v2.5_1428,run0002_iter0150,v2.5_gradient_patched_73_run0002_iter0150,181992813494272.0,182997433188352.0,1004619694080.0,469408192.0,429786272.0,39621920.0
3,150,74,v2.5_0111,run0003_iter0150,v2.5_gradient_patched_74_run0003_iter0150,172032465567744.0,150330851459072.0,21701614108672.0,469051392.0,320350080.0,148701312.0
3,150,76,v2.5_1203,run0003_iter0150,v2.5_gradient_patched_76_run0003_iter0150,181769508749312.0,165239890903040.0,16529617846272.0,471595328.0,359938784.0,111656544.0
3,150,73,v2.5_1428,run0003_iter0150,v2.5_gradient_patched_73_run0003_iter0150,169015519477760.0,166585356517376.0,2430162960384.0,446313664.0,355774912.0,90538752.0
2,175,74,v2.5_0111,run0002_iter0175,v2.5_gradient_patched_74_run0002_iter0175,181665909440512.0,188668601958400.0,7002692517888.0,466654976.0,446509312.0,20145664.0
2,175,76,v2.5_1203,run0002_iter0175,v2.5_gradient_patched_76_run0002_iter0175,190237456203776.0,183960176951296.0,6277279252480.0,460845248.0,427864448.0,32980800.0
2,175,73,v2.5_1428,run0002_iter0175,v2.5_gradient_patched_73_run0002_iter0175,182111394856960.0,184164875763712.0,2053480906752.0,469179584.0,430501696.0,38677888.0
3,175,74,v2.5_0111,run0003_iter0175,v2.5_gradient_patched_74_run0003_iter0175,172314222133248.0,150273993474048.0,22040228659200.0,470173248.0,324283776.0,145889472.0
3,175,76,v2.5_1203,run0003_iter0175,v2.5_gradient_patched_76_run0003_iter0175,181757278158848.0,165171808960512.0,16585469198336.0,471755904.0,361473568.0,110282336.0
3,175,73,v2.5_1428,run0003_iter0175,v2.5_gradient_patched_73_run0003_iter0175,169235770769408.0,162628450123776.0,6607320645632.0,446607296.0,354828832.0,91778464.0
2,200,74,v2.5_0111,run0002_iter0200,v2.5_gradient_patched_74_run0002_iter0200,181555297255424.0,189081338249216.0,7526040993792.0,466876224.0,448479648.0,18396576.0
2,200,76,v2.5_1203,run0002_iter0200,v2.5_gradient_patched_76_run0002_iter0200,190282066821120.0,185405030793216.0,4877036027904.0,460790784.0,435477120.0,25313664.0
2,200,73,v2.5_1428,run0002_iter0200,v2.5_gradient_patched_73_run0002_iter0200,182023415136256.0,184632574214144.0,2609159077888.0,469253024.0,432430688.0,36822336.0
3,200,74,v2.5_0111,run0003_iter0200,v2.5_gradient_patched_74_run0003_iter0200,172380710240256.0,139506846007296.0,32873864232960.0,470876288.0,295474432.0,175401856.0
3,200,76,v2.5_1203,run0003_iter0200,v2.5_gradient_patched_76_run0003_iter0200,181821820108800.0,162431485607936.0,19390334500864.0,471731360.0,347155200.0,124576160.0
3,200,73,v2.5_1428,run0003_iter0200,v2.5_gradient_patched_73_run0003_iter0200,169213389963264.0,154403067658240.0,14810322305024.0,446530176.0,327352992.0,119177184.0
4,0,74,v2.5_0111,run0004_iter0000,v2.5_gradient_patched_74_run0004_iter0000,174950526746624.0,138999368777728.0,35951157968896.0,377417280.0,227448736.0,149968544.0
4,0,76,v2.5_1203,run0004_iter0000,v2.5_gradient_patched_76_run0004_iter0000,173693745496064.0,137939501711360.0,35754243784704.0,385971808.0,226008480.0,159963328.0
4,0,73,v2.5_1428,run0004_iter0000,v2.5_gradient_patched_73_run0004_iter0000,171619947380736.0,136770809233408.0,34849138147328.0,371373600.0,219255408.0,152118192.0
5,0,74,v2.5_0111,run0005_iter0000,v2.5_gradient_patched_74_run0005_iter0000,172791450042368.0,159777028046848.0,13014421995520.0,414034048.0,324939616.0,89094432.0
5,0,76,v2.5_1203,run0005_iter0000,v2.5_gradient_patched_76_run0005_iter0000,178415206400000.0,157867931860992.0,20547274539008.0,427969824.0,317502880.0,110466944.0
5,0,73,v2.5_1428,run0005_iter0000,v2.5_gradient_patched_73_run0005_iter0000,174976531431424.0,156674383937536.0,18302147493888.0,414411008.0,311810208.0,102600800.0
4,25,74,v2.5_0111,run0004_iter0025,v2.5_gradient_patched_74_run0004_iter0025,176442675560448.0,149256404992000.0,27186270568448.0,451527136.0,318616256.0,132910880.0
4,25,76,v2.5_1203,run0004_iter0025,v2.5_gradient_patched_76_run0004_iter0025,185881268846592.0,150801989238784.0,35079279607808.0,471678880.0,326096416.0,145582464.0
4,25,73,v2.5_1428,run0004_iter0025,v2.5_gradient_patched_73_run0004_iter0025,176085958393856.0,144087546068992.0,31998412324864.0,450591072.0,299330496.0,151260576.0
5,25,74,v2.5_0111,run0005_iter0025,v2.5_gradient_patched_74_run0005_iter0025,171286215000064.0,172876745408512.0,1590530408448.0,441249216.0,387332832.0,53916384.0
5,25,76,v2.5_1203,run0005_iter0025,v2.5_gradient_patched_76_run0005_iter0025,188728513396736.0,174899758891008.0,13828754505728.0,478667360.0,382253088.0,96414272.0
5,25,73,v2.5_1428,run0005_iter0025,v2.5_gradient_patched_73_run0005_iter0025,177566681923584.0,180103665418240.0,2536983494656.0,457971968.0,406886144.0,51085824.0
4,50,74,v2.5_0111,run0004_iter0050,v2.5_gradient_patched_74_run0004_iter0050,173630092738560.0,169047060643840.0,4583032094720.0,465745120.0,367181728.0,98563392.0
4,50,76,v2.5_1203,run0004_iter0050,v2.5_gradient_patched_76_run0004_iter0050,183917915144192.0,172453707907072.0,11464207237120.0,471584128.0,370290816.0,101293312.0
4,50,73,v2.5_1428,run0004_iter0050,v2.5_gradient_patched_73_run0004_iter0050,171717708218368.0,169263990046720.0,2453718171648.0,457637280.0,363053760.0,94583520.0
5,50,74,v2.5_0111,run0005_iter0050,v2.5_gradient_patched_74_run0005_iter0050,167751339474944.0,172589217480704.0,4837878005760.0,444380544.0,369240768.0,75139776.0
5,50,76,v2.5_1203,run0005_iter0050,v2.5_gradient_patched_76_run0005_iter0050,187661079805952.0,170159708831744.0,17501370974208.0,480731136.0,359663104.0,121068032.0
5,50,73,v2.5_1428,run0005_iter0050,v2.5_gradient_patched_73_run0005_iter0050,174827264540672.0,169490415353856.0,5336849186816.0,462230112.0,358280704.0,103949408.0
4,75,74,v2.5_0111,run0004_iter0075,v2.5_gradient_patched_74_run0004_iter0075,173260591333376.0,171261653155840.0,1998938177536.0,471428416.0,379793888.0,91634528.0
4,75,76,v2.5_1203,run0004_iter0075,v2.5_gradient_patched_76_run0004_iter0075,183544739528704.0,175522780807168.0,8021958721536.0,471402656.0,385882400.0,85520256.0
4,75,73,v2.5_1428,run0004_iter0075,v2.5_gradient_patched_73_run0004_iter0075,171084502532096.0,173054600675328.0,1970098143232.0,462509472.0,375150176.0,87359296.0
5,75,74,v2.5_0111,run0005_iter0075,v2.5_gradient_patched_74_run0005_iter0075,166434294464512.0,168410298187776.0,1976003723264.0,447022944.0,356572800.0,90450144.0
5,75,76,v2.5_1203,run0005_iter0075,v2.5_gradient_patched_76_run0005_iter0075,187245441056768.0,164541539287040.0,22703901769728.0,481031232.0,340478848.0,140552384.0
5,75,73,v2.5_1428,run0005_iter0075,v2.5_gradient_patched_73_run0005_iter0075,173587981926400.0,165129580707840.0,8458401218560.0,462437280.0,341504064.0,120933216.0
4,100,74,v2.5_0111,run0004_iter0100,v2.5_gradient_patched_74_run0004_iter0100,172944827351040.0,181151369003008.0,8206541651968.0,473732800.0,419162816.0,54569984.0
4,100,76,v2.5_1203,run0004_iter0100,v2.5_gradient_patched_76_run0004_iter0100,183247111716864.0,182844676636672.0,402435080192.0,470777920.0,416573280.0,54204640.0
4,100,73,v2.5_1428,run0004_iter0100,v2.5_gradient_patched_73_run0004_iter0100,170849319518208.0,185455211446272.0,14605891928064.0,465477536.0,429723584.0,35753952.0
5,100,74,v2.5_0111,run0005_iter0100,v2.5_gradient_patched_74_run0005_iter0100,165846840246272.0,171225162711040.0,5378322464768.0,448173248.0,373391616.0,74781632.0
5,100,76,v2.5_1203,run0005_iter0100,v2.5_gradient_patched_76_run0005_iter0100,186766485094400.0,169673253453824.0,17093231640576.0,481213056.0,366723456.0,114489600.0
5,100,73,v2.5_1428,run0005_iter0100,v2.5_gradient_patched_73_run0005_iter0100,173125551521792.0,167835275886592.0,5290275635200.0,462454016.0,360832544.0,101621472.0
4,125,74,v2.5_0111,run0004_iter0125,v2.5_gradient_patched_74_run0004_iter0125,172686374338560.0,178428762390528.0,5742388051968.0,475571648.0,421028576.0,54543072.0
4,125,76,v2.5_1203,run0004_iter0125,v2.5_gradient_patched_76_run0004_iter0125,183230602936320.0,186797405503488.0,3566802567168.0,470019584.0,432864032.0,37155552.0
4,125,73,v2.5_1428,run0004_iter0125,v2.5_gradient_patched_73_run0004_iter0125,170502903562240.0,190042790166528.0,19539886604288.0,467331040.0,450815712.0,16515328.0
5,125,74,v2.5_0111,run0005_iter0125,v2.5_gradient_patched_74_run0005_iter0125,165686181625856.0,170431751389184.0,4745569763328.0,448849888.0,373320800.0,75529088.0
5,125,76,v2.5_1203,run0005_iter0125,v2.5_gradient_patched_76_run0005_iter0125,186611815940096.0,170324511424512.0,16287304515584.0,480734976.0,372826304.0,107908672.0
5,125,73,v2.5_1428,run0005_iter0125,v2.5_gradient_patched_73_run0005_iter0125,173141791866880.0,168573154623488.0,4568637243392.0,463004672.0,366370720.0,96633952.0
4,150,74,v2.5_0111,run0004_iter0150,v2.5_gradient_patched_74_run0004_iter0150,172906424303616.0,174812366372864.0,1905942069248.0,475054720.0,422775456.0,52279264.0
4,150,76,v2.5_1203,run0004_iter0150,v2.5_gradient_patched_76_run0004_iter0150,183205403557888.0,192400760766464.0,9195357208576.0,470675712.0,458798240.0,11877472.0
4,150,73,v2.5_1428,run0004_iter0150,v2.5_gradient_patched_73_run0004_iter0150,170748035465216.0,194264155815936.0,23516120350720.0,469674944.0,468466368.0,1208576.0
5,150,74,v2.5_0111,run0005_iter0150,v2.5_gradient_patched_74_run0005_iter0150,165636235853824.0,172219967733760.0,6583731879936.0,449012512.0,382094944.0,66917568.0
5,150,76,v2.5_1203,run0005_iter0150,v2.5_gradient_patched_76_run0005_iter0150,186691205726208.0,172369553391616.0,14321652334592.0,480687712.0,383537184.0,97150528.0
5,150,73,v2.5_1428,run0005_iter0150,v2.5_gradient_patched_73_run0005_iter0150,173262235500544.0,168697624788992.0,4564610711552.0,462926912.0,367556672.0,95370240.0
4,175,74,v2.5_0111,run0004_iter0175,v2.5_gradient_patched_74_run0004_iter0175,172635908472832.0,192515131047936.0,19879222575104.0,476270208.0,468208256.0,8061952.0
4,175,76,v2.5_1203,run0004_iter0175,v2.5_gradient_patched_76_run0004_iter0175,183103683297280.0,193166925889536.0,10063242592256.0,470047840.0,461608480.0,8439360.0
4,175,73,v2.5_1428,run0004_iter0175,v2.5_gradient_patched_73_run0004_iter0175,170557127524352.0,195894230122496.0,25337102598144.0,470666144.0,474046848.0,3380704.0
5,175,74,v2.5_0111,run0005_iter0175,v2.5_gradient_patched_74_run0005_iter0175,165682205425664.0,172058252148736.0,6376046723072.0,449182528.0,382610880.0,66571648.0
5,175,76,v2.5_1203,run0005_iter0175,v2.5_gradient_patched_76_run0005_iter0175,186609081253888.0,172033136656384.0,14575944597504.0,480563904.0,383545120.0,97018784.0
5,175,73,v2.5_1428,run0005_iter0175,v2.5_gradient_patched_73_run0005_iter0175,173297031446528.0,168465193238528.0,4831838208000.0,462994816.0,367642880.0,95351936.0
